phrase;rel_page;2018-10-13;2018-10-14;2018-10-15;2018-10-16;2018-10-17;2018-10-18
3cx;-;101;101;101;101;101;101
495 номер телефона;-;101;101;101;101;101;101
499 номер купить;https://new-tel.net/virtualnyj-nomer/moskovskiy/499/;40;44;56;45;48;45
8 495 номер телефона;-;101;101;101;101;101;101
8 800 бесплатный номер купить;https://new-tel.net/tarify/nomer-8-800/;95;96;93;92;86;85
8 800 выбрать номер;https://new-tel.net/virtualnyj-nomer/8-800/;35;23;35;30;33;29
8 800 где купить;https://new-tel.net/tarify/nomer-8-800/;28;25;24;26;24;22
8 800 где подключить;https://new-tel.net/blog/kak-poluchit-nomer-8800/;19;15;16;16;14;14
8 800 дешево;https://new-tel.net/tarify/nomer-8-800/;27;26;22;23;21;17
8 800 как подключить;https://new-tel.net/blog/kak-poluchit-nomer-8800/;35;26;24;20;19;17
8 800 купить;https://new-tel.net/virtualnyj-nomer/8-800/;85;82;76;84;84;80
8 800 купить дешево;https://new-tel.net/tarify/nomer-8-800/;93;91;87;24;14;15
8 800 купить номер;https://new-tel.net/virtualnyj-nomer/8-800/;34;33;31;35;30;31
8 800 купить номер дешево;https://new-tel.net/virtualnyj-nomer/8-800/;29;28;26;31;27;26
8 800 недорого;https://new-tel.net/tarify/nomer-8-800/;30;23;27;27;25;25
8 800 номер купить дешево;https://new-tel.net/tarify/nomer-8-800/;26;25;27;26;25;26
8 800 номера купить;https://new-tel.net/virtualnyj-nomer/8-800/;38;37;39;43;37;34
8 800 подключение;https://new-tel.net/blog/besplatnyy-nomer-8800/;30;32;36;29;18;34
8 800 подключить;https://new-tel.net/blog/besplatnyy-nomer-8800/;35;37;37;31;35;36
8 800 подключить дешево;https://new-tel.net/tarify/nomer-8-800/;17;17;21;21;20;19
8 800 сколько стоит;https://new-tel.net/tarify/nomer-8-800/;10;9;16;17;15;16
8 800 сколько стоит номер;https://new-tel.net/tarify/nomer-8-800/;17;19;15;22;22;16
8 800 стоимость;https://new-tel.net/tarify/nomer-8-800/;16;14;11;15;15;15
8 800 стоимость номера;https://new-tel.net/tarify/nomer-8-800/;20;19;20;17;19;18
8 800 стоимость подключения;https://new-tel.net/tarify/nomer-8-800/;14;12;14;13;13;12
8 800 тарифы;https://new-tel.net/tarify/nomer-8-800/;19;17;13;15;16;12
8 800 телефон подключить;https://new-tel.net/blog/kak-poluchit-nomer-8800/;27;22;28;28;23;21
8 800 цена;https://new-tel.net/tarify/nomer-8-800/;19;19;21;22;21;19
8 800 цена номера;https://new-tel.net/tarify/nomer-8-800/;18;17;17;21;21;18
800 купить номер;https://new-tel.net/virtualnyj-nomer/8-800/;23;25;20;22;19;21
800 номер стоимость;https://new-tel.net/tarify/nomer-8-800/;30;21;19;19;17;19
800 сколько стоит номер;https://new-tel.net/tarify/nomer-8-800/;10;9;12;9;7;6
8800 бесплатный номер;https://new-tel.net/blog/besplatnyy-nomer-8800/;13;9;13;13;13;13
8800 где подключить;https://new-tel.net/blog/kak-poluchit-nomer-8800/;3;3;4;3;3;3
8800 дешево;https://new-tel.net/virtualnyj-nomer/8-800/;84;84;86;91;93;93
8800 как купить номер;https://new-tel.net/virtualnyj-nomer/8-800/;29;27;34;33;33;27
8800 как подключить;https://new-tel.net/blog/kak-poluchit-nomer-8800/;7;9;11;8;8;8
8800 купить красивый номер;https://new-tel.net/virtualnyj-nomer/8-800/;12;19;13;16;16;15
8800 купить номер;https://new-tel.net/virtualnyj-nomer/8-800/;20;18;18;16;16;14
8800 купить номер дешево;https://new-tel.net/virtualnyj-nomer/8-800/;20;17;20;20;22;21
8800 купить номер красивый;https://new-tel.net/virtualnyj-nomer/8-800/;11;11;10;10;10;6
8800 купить телефонный номер;https://new-tel.net/virtualnyj-nomer/8-800/;30;29;21;17;20;18
8800 номер дешево;https://new-tel.net/virtualnyj-nomer/8-800/;23;22;21;21;21;22
8800 номер купить;https://new-tel.net/virtualnyj-nomer/8-800/;21;12;13;12;12;11
8800 номер купить цена;https://new-tel.net/virtualnyj-nomer/8-800/;23;21;22;21;18;20
8800 номер тарифы;https://new-tel.net/tarify/nomer-8-800/;10;9;8;9;7;7
8800 номер цена;https://new-tel.net/tarify/nomer-8-800/;19;20;19;18;19;18
8800 подключение;https://new-tel.net/blog/kak-poluchit-nomer-8800/;13;9;10;11;8;8
8800 подключить;https://new-tel.net/blog/kak-poluchit-nomer-8800/;17;13;17;15;13;11
8800 подключить номер;https://new-tel.net/blog/kak-poluchit-nomer-8800/;14;7;15;14;12;12
8800 самый дешевый тариф;https://new-tel.net/tarify/nomer-8-800/;16;16;17;16;13;14
8800 сколько стоит;https://new-tel.net/tarify/nomer-8-800/;22;15;16;17;18;14
8800 сколько стоит номер;https://new-tel.net/tarify/nomer-8-800/;14;15;14;17;16;15
8800 сколько стоит подключить;https://new-tel.net/tarify/nomer-8-800/;21;18;19;19;20;18
8800 тарифы;https://new-tel.net/tarify/nomer-8-800/;15;13;13;13;12;14
8800 телефон подключить;https://new-tel.net/blog/kak-poluchit-nomer-8800/;7;7;7;6;7;5
8800 телефонный номер купить;https://new-tel.net/virtualnyj-nomer/8-800/;28;27;22;23;17;25
8804 купить;-;101;101;101;101;101;101
8804 подключить;https://new-tel.net/virtualnyj-nomer/8-804/;2;2;2;2;2;2
asterisk;-;101;101;101;101;101;101
crm ip телефония;https://new-tel.net/blog/integratsiya-telefonii-s-crm/;9;10;10;9;9;8
ip sip телефония;https://new-tel.net/blog/chto-takoe-sip-telefoniya/;12;13;16;13;14;13
ip voip телефония;-;101;101;101;101;101;101
ip атс виртуальная;https://new-tel.net/vats/;6;5;6;5;8;4
ip атс телефония;https://new-tel.net/vats/;25;23;26;22;31;21
ip атс цена;-;101;101;101;101;101;101
ip и sip телефония отличие;https://new-tel.net/blog/chto-takoe-sip-telefoniya/;8;8;8;8;8;8
ip интернет телефония;https://new-tel.net/blog/chto-takoe-ip-telefoniya/;5;3;10;9;4;4
ip номер;-;101;101;101;101;101;101
ip номер купить;https://new-tel.net/virtualnyj-nomer/peterburg/;12;14;15;21;14;16
ip номер московский;https://new-tel.net/virtualnyj-nomer/moskovskiy/;25;20;23;24;24;20
ip номер телефона купить;https://new-tel.net/virtualnyj-nomer/peterburg/;25;19;14;13;13;12
ip телефония;-;101;101;101;101;101;101
ip телефония sip;https://new-tel.net/blog/chto-takoe-sip-telefoniya/;11;11;12;12;7;10
ip телефония voip;-;101;101;101;101;101;101
ip телефония атс;https://new-tel.net/vats/;24;18;14;12;13;10
ip телефония в москве;-;101;101;101;101;101;101
ip телефония в офис;https://new-tel.net/resheniya/telefoniya-dlya-ofisa/;27;28;34;21;20;18
ip телефония в офисе;https://new-tel.net/resheniya/telefoniya-dlya-ofisa/;39;79;79;20;23;21
ip телефония в спб;https://new-tel.net/;71;68;66;64;64;65
ip телефония виртуальная атс;https://new-tel.net/vats/;6;6;6;7;7;5
ip телефония виртуальный номер;https://new-tel.net/;81;69;88;86;72;87
ip телефония дешево;https://new-tel.net/blog/samaya-deshevaya-ip-telefoniya/;2;2;2;2;2;2
ip телефония для бизнеса;https://new-tel.net/;25;25;28;72;64;17
ip телефония для интернет магазина;https://new-tel.net/resheniya/telefoniya-dlya-internet-magazina/;1;1;1;1;1;1
ip телефония для офиса;https://new-tel.net/resheniya/telefoniya-dlya-ofisa/;28;35;27;32;30;29
ip телефония для офиса купить;-;101;101;101;101;101;101
ip телефония для офиса самая дешевая;https://new-tel.net/blog/samaya-deshevaya-ip-telefoniya/;2;3;2;3;3;3
ip телефония для офиса тарифы;https://new-tel.net/resheniya/telefoniya-dlya-ofisa/;17;17;16;17;17;9
ip телефония интернет телефония;https://new-tel.net/blog/chto-takoe-ip-telefoniya/;2;3;23;11;25;6
ip телефония как подключить;https://new-tel.net/blog/kak-podklyuchit-ip-telefoniyu/;9;7;6;7;6;6
ip телефония компании;https://new-tel.net/;34;39;44;33;30;32
ip телефония купить номер;https://new-tel.net/virtualnyj-nomer/peterburg/;11;10;9;10;10;9
ip телефония лучшие провайдеры;https://new-tel.net/blog/samaya-deshevaya-ip-telefoniya/;37;37;38;80;80;81
ip телефония москва;-;101;101;101;101;101;101
ip телефония московский номер;https://new-tel.net/virtualnyj-nomer/moskovskiy/;20;14;20;16;19;14
ip телефония недорого;https://new-tel.net/blog/samaya-deshevaya-ip-telefoniya/;2;3;3;3;3;2
ip телефония номер купить;https://new-tel.net/virtualnyj-nomer/peterburg/;7;8;8;8;9;9
ip телефония обзор операторов;-;101;101;101;101;101;101
ip телефония оборудование для офиса;https://new-tel.net/resheniya/telefoniya-dlya-ofisa/;101;101;101;26;23;9
ip телефония подключение;https://new-tel.net/blog/kak-podklyuchit-ip-telefoniyu/;5;5;4;5;5;4
ip телефония подключить;https://new-tel.net/blog/kak-podklyuchit-ip-telefoniyu/;5;5;5;5;5;5
ip телефония рейтинг операторов;-;101;101;101;101;101;101
