phrase;rel_page;2018-11-14;2018-11-15;2018-11-16;2018-11-17;2018-11-18;2018-11-19
аджика купить;-;101;101;101;101;101;101
азерчай;http://frutoss.ru/shop/tea/;11;12;13;13;13;13
азерчай где купить в спб;http://frutoss.ru/shop/tea/;4;4;5;4;4;4
азерчай зеленый;http://frutoss.ru/shop/tea/azerchay-zelyonyy-klassicheskiy-25-paket;15;15;16;19;16;20
азерчай купить;http://frutoss.ru/shop/tea/;1;4;1;4;4;4
азерчай купить в санкт петербурге;http://frutoss.ru/shop/tea/;3;2;2;2;2;2
азерчай купить в спб;http://frutoss.ru/shop/tea/;1;1;1;1;1;1
азерчай купить в спб в магазине;http://frutoss.ru/shop/tea/;4;4;4;4;4;3
азерчай цена;http://frutoss.ru/shop/tea/;6;6;7;7;6;6
амарантовое масло купить;http://frutoss.ru/shop/masla/maslo-amarantovoe;101;101;101;74;75;75
амарантовое масло купить в спб;http://frutoss.ru/shop/masla/maslo-amarantovoe;30;31;31;27;28;26
амарантовое масло спб;http://frutoss.ru/shop/masla/maslo-amarantovoe;78;78;86;76;76;77
амарантовое масло цена;http://frutoss.ru/shop/masla/maslo-amarantovoe;101;101;101;89;88;88
ананас сушеный купить;http://frutoss.ru/shop/cukaty/ananas/;20;24;25;23;23;23
ананас цена;http://frutoss.ru/shop/cukaty/ananas/;17;18;9;13;11;13
ананасы купить в спб;http://frutoss.ru/shop/cukaty/ananas/;12;13;14;13;13;13
анис купить;http://frutoss.ru/shop/semena-bobovye/anis/;6;6;6;6;9;7
анис купить в санкт петербурге;http://frutoss.ru/shop/semena-bobovye/anis/;2;3;3;1;3;3
анис купить в спб;http://frutoss.ru/shop/semena-bobovye/anis/;5;5;5;6;6;6
арахис в сахаре купить в спб;http://frutoss.ru/shop/orehi/arahis/;8;8;10;7;7;8
арахис в скорлупе купить;http://frutoss.ru/shop/orehi/arahis/;28;18;30;21;18;18
арахис дробленый;http://frutoss.ru/shop/orehi/arahis/drob-arahis/;3;3;4;4;4;4
арахис жареный дробленый 2 4;http://frutoss.ru/shop/orehi/arahis-zharenyy-droblenyy-2-4-mm;3;2;2;2;3;2
арахис жареный купить;http://frutoss.ru/shop/orehi/arahis/;23;20;20;19;20;19
арахис жареный очищенный купить;http://frutoss.ru/shop/orehi/arahis/;12;6;6;6;6;6
арахис купить;http://frutoss.ru/shop/orehi/arahis/;6;9;6;4;4;5
арахис оптом;http://frutoss.ru/shop/orehi/arahis/;101;29;30;27;26;21
арахис оптом купить;http://frutoss.ru/shop/orehi/arahis/;17;22;22;21;13;21
