phrase;rel_page;2018-10-26;2018-10-27;2018-10-28;2018-10-29;2018-10-30;2018-10-31
3cx;-;101.0;101.0;101.0;101.0;101.0;101.0
495 номер телефона;-;101.0;101.0;101.0;101.0;101.0;101.0
499 номер купить;https://new-tel.net/virtualnyj-nomer/peterburg/;33.0;27.0;29.0;29.0;25.0;21.0
8 495 номер телефона;-;101.0;101.0;101.0;101.0;101.0;101.0
8 800;https://new-tel.net/blog/besplatnyy-nomer-8800/;;;;;21.0;71.0
8 800 акции;https://new-tel.net/tarify/nomer-8-800/;;;;;13.0;12.0
8 800 атс;-;;;;;101.0;101.0
8 800 без абонентской платы;https://new-tel.net/tarify/nomer-8-800/;;;;;18.0;16.0
8 800 бесплатно ли с мобильного;https://new-tel.net/blog/besplatnyy-nomer-8800/;;;;;15.0;17.0
8 800 бесплатный номер купить;https://new-tel.net/tarify/nomer-8-800/;84.0;16.0;17.0;16.0;27.0;23.0
8 800 выбрать номер;https://new-tel.net/tarify/nomer-8-800/;29.0;33.0;32.0;33.0;27.0;25.0
8 800 где купить;https://new-tel.net/tarify/nomer-8-800/;21.0;101.0;21.0;20.0;22.0;20.0
8 800 где подключить;https://new-tel.net/blog/kak-poluchit-nomer-8800/;15.0;15.0;15.0;15.0;9.0;14.0
8 800 дешево;https://new-tel.net/tarify/nomer-8-800/;20.0;17.0;14.0;18.0;15.0;14.0
8 800 для бизнеса;-;;;;;101.0;101.0
8 800 для клиентов;-;;;;;101.0;101.0
8 800 для юридических лиц;-;;;;;101.0;101.0
8 800 звонок бесплатный;https://new-tel.net/blog/besplatnyy-nomer-8800/;;;;;23.0;20.0
8 800 как подключить;https://new-tel.net/blog/kak-poluchit-nomer-8800/;20.0;24.0;33.0;33.0;15.0;14.0
8 800 купить;https://new-tel.net/tarify/nomer-8-800/;89.0;84.0;88.0;87.0;78.0;22.0
8 800 купить дешево;https://new-tel.net/tarify/nomer-8-800/;83.0;21.0;22.0;20.0;18.0;13.0
8 800 купить номер;https://new-tel.net/virtualnyj-nomer/8-800/;31.0;27.0;27.0;27.0;23.0;20.0
8 800 купить номер дешево;https://new-tel.net/virtualnyj-nomer/8-800/;27.0;31.0;34.0;29.0;25.0;24.0
8 800 недорого;https://new-tel.net/tarify/nomer-8-800/;28.0;37.0;26.0;25.0;23.0;20.0
8 800 номер купить дешево;https://new-tel.net/tarify/nomer-8-800/;25.0;32.0;32.0;30.0;25.0;22.0
8 800 номера купить;https://new-tel.net/virtualnyj-nomer/8-800/;37.0;33.0;27.0;35.0;26.0;24.0
8 800 платно или бесплатно;https://new-tel.net/blog/besplatnyy-nomer-8800/;;;;;20.0;19.0
8 800 подключение;https://new-tel.net/blog/besplatnyy-nomer-8800/;36.0;40.0;41.0;39.0;21.0;13.0
8 800 подключить;https://new-tel.net/blog/besplatnyy-nomer-8800/;41.0;34.0;36.0;36.0;18.0;37.0
8 800 подключить дешево;https://new-tel.net/tarify/nomer-8-800/;20.0;17.0;17.0;22.0;17.0;14.0
