phrase;rel_page;2018-11-17;2018-11-18;2018-11-19;2018-11-20;2018-11-21;2018-11-22
аджика купить;-;101;101;101;99;101;101
азерчай;http://frutoss.ru/shop/tea/;13;13;13;13;13;10
азерчай где купить в спб;http://frutoss.ru/shop/tea/;4;4;4;4;4;4
азерчай зеленый;http://frutoss.ru/shop/tea/azerchay-zelyonyy-klassicheskiy-25-paket;19;16;20;16;17;18
азерчай купить;http://frutoss.ru/shop/tea/;4;4;4;4;4;4
азерчай купить в санкт петербурге;http://frutoss.ru/shop/tea/;2;2;2;2;2;2
азерчай купить в спб;http://frutoss.ru/shop/tea/;1;1;1;1;3;3
азерчай купить в спб в магазине;http://frutoss.ru/shop/tea/;4;4;3;3;4;4
азерчай цена;http://frutoss.ru/shop/tea/;7;6;6;6;6;6
амарантовое масло купить;http://frutoss.ru/shop/masla/maslo-amarantovoe;74;75;75;75;76;73
амарантовое масло купить в спб;http://frutoss.ru/shop/masla/maslo-amarantovoe;27;28;26;26;26;26
амарантовое масло спб;http://frutoss.ru/shop/masla/maslo-amarantovoe;76;76;77;75;75;93
амарантовое масло цена;http://frutoss.ru/shop/masla/maslo-amarantovoe;89;88;88;87;91;91
ананас сушеный купить;http://frutoss.ru/shop/cukaty/ananas/;23;23;23;24;27;27
ананас цена;http://frutoss.ru/shop/cukaty/ananas/;13;11;13;14;15;15
ананасы купить в спб;http://frutoss.ru/shop/cukaty/ananas/;13;13;13;12;11;8
анис купить;http://frutoss.ru/shop/semena-bobovye/anis/;6;9;7;8;7;7
анис купить в санкт петербурге;http://frutoss.ru/shop/semena-bobovye/anis/;1;3;3;2;3;3
анис купить в спб;http://frutoss.ru/shop/semena-bobovye/anis/;6;6;6;5;6;6
арахис в сахаре купить в спб;http://frutoss.ru/shop/orehi/arahis/;7;7;8;5;7;7
арахис в скорлупе купить;http://frutoss.ru/shop/orehi/arahis/;21;18;18;16;16;15
арахис дробленый;http://frutoss.ru/shop/orehi/arahis/drob-arahis/;4;4;4;4;2;4
арахис жареный дробленый 2 4;http://frutoss.ru/shop/orehi/arahis-zharenyy-droblenyy-2-4-mm;2;3;2;2;2;2
арахис жареный купить;http://frutoss.ru/shop/orehi/arahis/;19;20;19;11;23;21
арахис жареный очищенный купить;http://frutoss.ru/shop/orehi/arahis/;6;6;6;7;7;7
арахис купить;http://frutoss.ru/shop/orehi/arahis/;4;4;5;4;5;5
арахис оптом;http://frutoss.ru/shop/orehi/arahis/;27;26;21;27;27;26
арахис оптом купить;http://frutoss.ru/shop/orehi/arahis/;21;13;21;16;22;22
арахис сырой купить;http://frutoss.ru/shop/orehi/arahis/;7;7;6;6;7;6
арахис цена;http://frutoss.ru/shop/orehi/arahis/;8;8;6;6;7;7
арахисовое масло где купить в спб;http://frutoss.ru/shop/masla/;36;38;35;35;38;37
арахисовое масло купить;http://frutoss.ru/shop/masla/maslo-arashisa;44;39;40;45;44;44
арахисовое масло купить спб;http://frutoss.ru/shop/masla/;51;51;47;42;44;73
арбузное масло купить;http://frutoss.ru/shop/masla/maslo-arbuznoe;19;19;22;19;21;18
бадьян где купить;http://frutoss.ru/shop/specii/badyan;16;15;15;15;13;13
бадьян купить;http://frutoss.ru/shop/specii/badyan;13;14;13;15;13;14
бадьян купить в спб;http://frutoss.ru/shop/specii/badyan;6;5;6;5;6;6
баклажаны сушеные купить в спб;http://frutoss.ru/shop/semena-bobovye/vegetables/baklazhan/;12;7;10;9;8;8
банановые чипсы купить;http://frutoss.ru/shop/cukaty/bananovie-chipsy/;12;12;10;11;11;12
белая фасоль купить;http://frutoss.ru/shop/semena-bobovye/fasol/;13;18;7;23;9;20
белые семечки подсолнечника купить;http://frutoss.ru/shop/sladosti/semechka-podsolnechnika-v-iogurte;63;43;60;50;44;44
бобы купить в спб;http://frutoss.ru/shop/semena-bobovye/soy/;39;39;39;38;48;47
боярышник оптом;http://frutoss.ru/shop/suhofrukty/boyaryshnik;52;48;46;47;84;84
бразильский орех купить;http://frutoss.ru/shop/orehi/brazilskij-oreh/;16;16;16;15;17;18
бразильский орех купить в спб;http://frutoss.ru/shop/orehi/brazilskij-oreh/;11;8;11;12;12;12
бразильский орех цена;http://frutoss.ru/shop/orehi/brazilskij-oreh/;22;22;21;21;23;22
бразильский орех цена за 1 кг;http://frutoss.ru/shop/orehi/brazilskij-oreh/;4;7;9;8;7;7
виноградное масло купить;-;101;101;101;101;101;101
виноградное масло цена;-;101;101;101;101;101;101
виноградные листья купить;-;33;32;32;32;101;101
виноградные листья купить в спб;-;18;18;21;22;101;101
вишня вяленая купить;http://frutoss.ru/shop/cukaty/vishnja-vjalenaja/;6;6;6;6;7;7
восточные сладости и сухофрукты;http://frutoss.ru/;3;4;2;1;3;1
восточные сладости интернет магазин;http://frutoss.ru/shop/sladosti;7;6;6;7;6;6
восточные сладости купить;http://frutoss.ru/shop/sladosti;13;13;13;14;15;14
восточные сладости купить в санкт петербурге;http://frutoss.ru/shop/sladosti;25;26;26;26;68;68
восточные сладости купить в спб;http://frutoss.ru/shop/sladosti;19;20;20;19;22;25
восточные сладости купить оптом;http://frutoss.ru/shop/sladosti/?page=2;7;7;8;9;10;5
восточные сладости купить спб;http://frutoss.ru/shop/sladosti;24;24;25;25;27;26
восточные сладости магазин в санкт петербурге;http://frutoss.ru/shop/sladosti;47;47;48;49;73;73
восточные сладости опт;http://frutoss.ru/shop/sladosti;12;26;29;26;88;88
восточные сладости оптом;http://frutoss.ru/shop/sladosti;14;15;15;13;10;14
восточные сладости оптом от производителя;http://frutoss.ru/shop/sladosti;20;17;19;21;18;12
восточные сладости оптом спб;http://frutoss.ru/shop/sladosti;9;9;9;9;9;9
восточные сладости петербург;-;76;87;77;79;101;101
восточные сладости с доставкой;http://frutoss.ru/shop/sladosti;10;11;11;11;10;10
восточные сладости санкт петербург;-;72;72;71;47;101;101
восточные сладости спб;http://frutoss.ru/shop/sladosti;42;42;42;42;65;65
восточные сладости спб купить;http://frutoss.ru/shop/sladosti;20;20;21;21;24;27
восточные сладости спб магазины;http://frutoss.ru/shop/sladosti;44;43;43;42;44;46
восточные специи;-;101;101;101;101;101;101
восточные специи магазин;http://frutoss.ru/shop/specii;22;21;21;23;70;70
вяленая груша купить;http://frutoss.ru/shop/cukaty/grusha-vjalenaja/;7;7;7;7;8;13
вяленая клубника купить;http://frutoss.ru/shop/cukaty/klubnika-vjalenaja/;8;8;9;8;6;9
вяленая клюква купить;http://frutoss.ru/shop/cukaty/kljukva-vjalenaja/;8;8;9;9;9;6
вяленое манго купить;http://frutoss.ru/shop/cukaty/mango/;6;13;13;13;15;14
вяленые фрукты купить;http://frutoss.ru/shop/suhofrukty/sushenye-plody-fruktov/;6;6;6;2;7;7
