phrase;rel_page;2018-10-03;2018-10-04;2018-10-05;2018-10-06;2018-10-07;2018-10-08
3cx;-;101;101;101;101;101;101
495 номер телефона;-;101;101;101;101;101;101
499 номер купить;https://new-tel.net/virtualnyj-nomer/moskovskiy/499/;39;49;40;13;42;47
8 495 номер телефона;-;101;101;101;101;101;101
8 800 бесплатный номер купить;https://new-tel.net/blog/besplatnyy-nomer-8800/;98;92;93;93;83;93
8 800 выбрать номер;https://new-tel.net/virtualnyj-nomer/8-800/;38;43;43;39;37;35
8 800 где купить;https://new-tel.net/tarify/nomer-8-800/;30;27;28;21;29;28
8 800 где подключить;https://new-tel.net/blog/kak-poluchit-nomer-8800/;17;7;17;17;17;18
8 800 дешево;https://new-tel.net/tarify/nomer-8-800/;22;21;18;25;25;28
8 800 как подключить;https://new-tel.net/blog/besplatnyy-nomer-8800/;14;39;36;29;29;38
8 800 купить;https://new-tel.net/virtualnyj-nomer/8-800/;86;81;81;81;79;86
8 800 купить дешево;https://new-tel.net/tarify/nomer-8-800/;17;24;5;13;18;19
8 800 купить номер;https://new-tel.net/virtualnyj-nomer/8-800/;28;23;36;34;36;22
8 800 купить номер дешево;https://new-tel.net/virtualnyj-nomer/8-800/;36;33;34;33;33;31
8 800 недорого;https://new-tel.net/tarify/nomer-8-800/;23;25;24;24;25;28
8 800 номер купить дешево;https://new-tel.net/tarify/nomer-8-800/;24;29;28;26;27;25
8 800 номера купить;https://new-tel.net/virtualnyj-nomer/8-800/;39;48;40;37;44;31
8 800 подключение;https://new-tel.net/blog/besplatnyy-nomer-8800/;31;37;27;28;33;28
8 800 подключить;https://new-tel.net/blog/besplatnyy-nomer-8800/;28;37;30;27;27;34
8 800 подключить дешево;https://new-tel.net/tarify/nomer-8-800/;16;17;16;16;9;19
8 800 сколько стоит;https://new-tel.net/tarify/nomer-8-800/;12;12;12;11;11;14
8 800 сколько стоит номер;https://new-tel.net/tarify/nomer-8-800/;24;24;24;20;11;22
8 800 стоимость;https://new-tel.net/tarify/nomer-8-800/;15;16;15;14;12;16
8 800 стоимость номера;https://new-tel.net/tarify/nomer-8-800/;14;16;17;17;13;20
8 800 стоимость подключения;https://new-tel.net/tarify/nomer-8-800/;16;17;22;16;17;21
8 800 тарифы;https://new-tel.net/tarify/nomer-8-800/;12;14;10;12;10;18
8 800 телефон подключить;https://new-tel.net/blog/kak-poluchit-nomer-8800/;24;26;23;23;25;28
8 800 цена;https://new-tel.net/tarify/nomer-8-800/;22;24;24;24;28;23
8 800 цена номера;https://new-tel.net/tarify/nomer-8-800/;16;21;23;20;15;23
800 купить номер;https://new-tel.net/virtualnyj-nomer/8-800/;26;27;28;27;15;25
800 номер стоимость;https://new-tel.net/tarify/nomer-8-800/;15;23;25;22;25;27
800 сколько стоит номер;https://new-tel.net/tarify/nomer-8-800/;11;11;11;10;13;10
8800 бесплатный номер;https://new-tel.net/blog/besplatnyy-nomer-8800/;13;13;13;12;12;12
8800 где подключить;https://new-tel.net/blog/kak-poluchit-nomer-8800/;5;5;4;4;4;3
8800 дешево;https://new-tel.net/virtualnyj-nomer/8-800/;32;33;30;26;30;22
8800 как купить номер;https://new-tel.net/virtualnyj-nomer/8-800/;45;50;47;19;44;37
8800 как подключить;https://new-tel.net/blog/kak-poluchit-nomer-8800/;4;9;9;7;9;10
8800 купить красивый номер;https://new-tel.net/virtualnyj-nomer/8-800/;24;25;17;14;14;16
8800 купить номер;https://new-tel.net/virtualnyj-nomer/8-800/;27;13;30;26;24;25
8800 купить номер дешево;https://new-tel.net/virtualnyj-nomer/8-800/;22;24;15;20;12;18
8800 купить номер красивый;https://new-tel.net/virtualnyj-nomer/8-800/;21;24;20;18;13;14
8800 купить телефонный номер;https://new-tel.net/virtualnyj-nomer/8-800/;27;27;19;22;38;31
8800 номер дешево;https://new-tel.net/virtualnyj-nomer/8-800/;25;25;28;25;29;25
8800 номер купить;https://new-tel.net/virtualnyj-nomer/8-800/;25;26;26;23;21;20
8800 номер купить цена;https://new-tel.net/virtualnyj-nomer/8-800/;18;28;33;26;15;16
8800 номер тарифы;https://new-tel.net/tarify/nomer-8-800/;5;7;8;7;7;11
8800 номер цена;https://new-tel.net/tarify/nomer-8-800/;21;21;22;22;22;27
8800 подключение;https://new-tel.net/blog/kak-poluchit-nomer-8800/;14;16;12;8;3;10
8800 подключить;https://new-tel.net/blog/besplatnyy-nomer-8800/;23;2;3;18;19;19
8800 подключить номер;https://new-tel.net/blog/kak-poluchit-nomer-8800/;19;18;19;17;16;15
8800 самый дешевый тариф;https://new-tel.net/tarify/nomer-8-800/;20;22;22;19;20;22
8800 сколько стоит;https://new-tel.net/tarify/nomer-8-800/;19;18;20;19;18;8
8800 сколько стоит номер;https://new-tel.net/tarify/nomer-8-800/;14;17;14;15;15;25
8800 сколько стоит подключить;https://new-tel.net/blog/besplatnyy-nomer-8800/;13;17;5;12;13;12
8800 тарифы;https://new-tel.net/tarify/nomer-8-800/;12;12;14;13;12;17
8800 телефон подключить;https://new-tel.net/blog/kak-poluchit-nomer-8800/;7;7;7;7;7;8
8800 телефонный номер купить;https://new-tel.net/virtualnyj-nomer/8-800/;36;19;44;41;42;34
8804 купить;-;101;101;101;101;101;101
8804 подключить;https://new-tel.net/virtualnyj-nomer/8-804/;2;3;4;2;5;3
asterisk;-;101;101;101;101;101;101
crm ip телефония;https://new-tel.net/blog/integratsiya-telefonii-s-crm/;9;9;10;9;9;11
ip sip телефония;https://new-tel.net/blog/chto-takoe-sip-telefoniya/;16;17;17;9;18;15
ip voip телефония;-;101;101;101;101;101;101
ip атс виртуальная;https://new-tel.net/vats/;7;7;5;7;27;6
ip атс телефония;https://new-tel.net/vats/;39;40;40;27;35;43
ip атс цена;-;101;89;101;101;100;101
ip и sip телефония отличие;https://new-tel.net/blog/chto-takoe-sip-telefoniya/;12;11;11;11;11;10
ip интернет телефония;https://new-tel.net/;13;13;13;10;13;14
ip номер;-;101;101;101;101;101;101
ip номер купить;https://new-tel.net/virtualnyj-nomer/peterburg/;18;17;16;21;15;18
ip номер московский;https://new-tel.net/virtualnyj-nomer/moskovskiy/;27;30;29;28;26;26
ip номер телефона купить;https://new-tel.net/virtualnyj-nomer/peterburg/;23;21;22;22;26;16
ip телефония;-;101;101;101;101;101;101
ip телефония sip;https://new-tel.net/blog/chto-takoe-sip-telefoniya/;4;12;11;11;7;5
ip телефония voip;-;101;101;101;101;101;101
ip телефония атс;https://new-tel.net/vats/;18;30;14;22;24;25
ip телефония в москве;-;101;101;101;101;101;101
ip телефония в офис;https://new-tel.net/resheniya/telefoniya-dlya-ofisa/;20;29;22;19;32;32
ip телефония в офисе;https://new-tel.net/resheniya/telefoniya-dlya-ofisa/;41;41;41;42;42;27
ip телефония в спб;https://new-tel.net/;66;62;65;65;65;66
ip телефония виртуальная атс;https://new-tel.net/vats/;8;8;8;8;10;11
ip телефония виртуальный номер;https://new-tel.net/;60;57;65;65;63;59
ip телефония дешево;https://new-tel.net/blog/samaya-deshevaya-ip-telefoniya/;2;2;2;2;2;2
ip телефония для бизнеса;https://new-tel.net/;30;31;25;34;25;31
ip телефония для интернет магазина;https://new-tel.net/resheniya/telefoniya-dlya-internet-magazina/;1;1;1;1;1;1
ip телефония для офиса;https://new-tel.net/resheniya/telefoniya-dlya-ofisa/;47;38;37;36;26;37
ip телефония для офиса купить;-;101;101;101;101;101;101
ip телефония для офиса самая дешевая;https://new-tel.net/blog/samaya-deshevaya-ip-telefoniya/;3;2;3;3;3;3
ip телефония для офиса тарифы;https://new-tel.net/tarify/ip-telephoniya/;7;7;11;7;5;8
ip телефония интернет телефония;https://new-tel.net/;15;17;14;38;15;19
ip телефония как подключить;https://new-tel.net/blog/kak-podklyuchit-ip-telefoniyu/;7;9;10;10;7;9
ip телефония компании;https://new-tel.net/;30;26;33;30;57;36
ip телефония купить номер;https://new-tel.net/virtualnyj-nomer/peterburg/;9;9;9;9;5;13
ip телефония лучшие провайдеры;https://new-tel.net/blog/samaya-deshevaya-ip-telefoniya/;34;39;33;27;34;40
ip телефония москва;-;101;101;101;101;101;101
ip телефония московский номер;https://new-tel.net/virtualnyj-nomer/moskovskiy/;13;23;14;20;23;25
ip телефония недорого;https://new-tel.net/blog/samaya-deshevaya-ip-telefoniya/;4;4;4;4;4;4
ip телефония номер купить;https://new-tel.net/virtualnyj-nomer/peterburg/;7;7;8;8;8;10
ip телефония обзор операторов;-;101;101;101;101;101;101
ip телефония оборудование для офиса;-;101;101;101;101;101;101
ip телефония подключение;https://new-tel.net/blog/kak-podklyuchit-ip-telefoniyu/;5;5;5;3;3;4
ip телефония подключить;https://new-tel.net/blog/kak-podklyuchit-ip-telefoniyu/;3;5;4;5;5;5
ip телефония рейтинг операторов;-;101;101;101;101;101;101
ip телефония самая дешевая по россии;https://new-tel.net/blog/samaya-deshevaya-ip-telefoniya/;2;2;2;2;3;3
ip телефония сколько стоит;https://new-tel.net/tarify/ip-telephoniya/;14;19;25;16;23;22
